Time,DeviceState,UL_TPut(Kb/s),DL_TPut(Kb/s),RAT(Cell1),Band(Cell1),DL_Channel(Cell1),RSRP0(Cell1),RSRP1(Cell1),RSRP2(Cell1),RSRP3(Cell1),UL_Channel(Cell1),TXPower0(Cell1),TXPower1(Cell1),RAT(Cell2),Band(Cell2),DL_Channel(Cell2),RSRP0(Cell2),RSRP1(Cell2),RSRP2(Cell2),RSRP3(Cell2),UL_Channel(Cell2),TXPower0(Cell2),RAT(Cell3),Band(Cell3),DL_Channel(Cell3),RSRP0(Cell3),RSRP1(Cell3),RSRP2(Cell3),RSRP3(Cell3),RAT(Cell4),Band(Cell4),DL_Channel(Cell4),RSRP0(Cell4),RSRP1(Cell4),RSRP2(Cell4),RSRP3(Cell4)
2025/4/15 18:30,Free,0,90,LTE,B1,100,-82,-92,-111,-119,18100,17,5,NR,N78,630000,-122,-120,-123,-122,630000,8,NR,N1,423000,-65,-55,,,,,,,,,
2025/4/15 18:31,Free,20,120,LTE,B1,100,-76,-95,-109,-123,18100,14,-2,NR,N78,630000,-122,-108,-120,-129,630000,9.5,NR,N1,423000,-62,-63,,,,,,,,,
2025/4/15 18:32,Free,20.5,0,LTE,B1,100,-80,-90,-110,-122,18100,9,10,NR,N78,630000,-122,-110,-121,-109,630000,5.5,NR,N1,423000,-78,-50,,,,,,,,,
2025/4/15 18:33,Free,0,100,LTE,B1,100,-82,-92,-111,-119,18100,0,9,NR,N78,630000,-122,-120,-123,-122,630000,0,NR,N1,423000,-65,-55,,,,,,,,,
2025/4/15 18:34,Free,30,90,LTE,B1,100,-76,-95,-109,-123,18100,19,5,NR,N78,630000,-122,-108,-120,-129,630000,-2,NR,N1,423000,-62,-63,,,,,,,,,
2025/4/15 18:35,Free,0,120,LTE,B1,100,-80,-90,-110,-122,18100,17,-2,NR,N78,630000,-122,-110,-121,-109,630000,8,NR,N1,423000,-78,-50,,,,,,,,,
2025/4/15 18:36,Free,20,0,LTE,B1,100,-82,-92,-111,-119,18100,14,10,NR,N78,630000,-122,-120,-123,-122,630000,9.5,NR,N1,423000,-65,-55,,,,,,,,,
2025/4/15 18:37,Head,20.5,100,LTE,B1,100,-76,-95,-109,-123,18100,9,9,NR,N78,630000,-122,-108,-120,-129,630000,5.5,NR,N1,423000,-62,-63,,,,,,,,,
2025/4/15 18:38,Head,0,90,LTE,B1,100,-80,-90,-110,-122,18100,0,5,NR,N78,630000,-122,-110,-121,-109,630000,0,NR,N1,423000,-78,-50,,,,,,,,,
2025/4/15 18:39,Head,0,120,LTE,B1,100,-82,-92,-111,-119,18100,19,-2,NR,N78,630000,-122,-120,-123,-122,630000,-2,NR,N1,423000,-65,-55,,,,,,,,,
2025/4/15 18:40,Head,20,0,LTE,B1,100,-76,-95,-109,-123,18100,17,10,NR,N78,630000,-122,-108,-120,-129,630000,8,NR,N1,423000,-62,-63,,,,,,,,,
2025/4/15 18:41,Head,20.5,100,LTE,B1,100,-80,-90,-110,-122,18100,14,9,NR,N78,630000,-122,-110,-121,-109,630000,9.5,NR,N1,423000,-78,-50,,,,,,,,,
2025/4/15 18:42,Head,0,90,LTE,B1,100,-82,-92,-111,-119,18100,9,5,NR,N78,630000,-122,-120,-123,-122,630000,5.5,NR,N1,423000,-65,-55,,,,,,,,,
2025/4/15 18:43,Head,30,120,LTE,B1,100,-76,-95,-109,-123,18100,0,-2,NR,N78,630000,-122,-108,-120,-129,630000,0,NR,N1,423000,-62,-63,,,,,,,,,
2025/4/15 18:44,Head,0,0,LTE,B1,100,-80,-90,-110,-122,18100,19,10,NR,N78,630000,-122,-110,-121,-109,630000,-2,NR,N1,423000,-78,-50,,,,,,,,,
2025/4/15 18:45,Head,20,100,LTE,B1,100,-82,-92,-111,-119,18100,17,9,NR,N78,630000,-122,-120,-123,-122,630000,8,NR,N1,423000,-65,-55,,,,,,,,,
2025/4/15 18:46,Head,20.5,90,LTE,B1,100,-90,-100,-110,-123,18100,14,5,NR,N78,630000,-122,-108,-120,-129,630000,9.5,NR,N1,423000,-62,-63,,,,,,,,,
2025/4/15 18:47,Head,0,0,LTE,B1,100,-80,-90,-110,-122,18100,17,10,NR,N78,630000,-122,-110,-121,-109,630000,8,NR, N1,423000,-78,-50,,,,,,,,,
2025/4/15 18:48,Head,20,100,LTE,B1,100,-82,-92,-111,-119,18100,14,9,NR,N78,630000,-120,-120,-123,-122,630000,9.5,NR, N1,423000,-65,-55,,,,,,,,,
2025/4/15 18:49,Head,20.5,90,LTE,B1,100,-76,-95,-109,-123,18100,9,5,NR,N78,630000,-118,-108,-120,-129,630000,5.5,NR,N1,423000,-62,-63,,,,,,,,,
2025/4/15 18:50,Head,0,120,LTE,B1,100,-80,-90,-110,-122,18100,0,-2,NR,N78,630000,-122,-110,-121,-109,630000,0,NR,N1,423000,-78,-50,,,,,,,,,
2025/4/15 18:51,Head,30,0,LTE,B1,100,-82,-92,-111,-119,18100,19,10,NR,N78,630000,-122,-120,-123,-122,630000,-2,NR,N1,423000,-65,-55,,,,,,,,,
2025/4/15 18:52,Head,0,100,LTE,B1,100,-76,-95,-109,-123,18100,17,9,NR,N78,630000,-122,-108,-120,-129,630000,8,NR,N1,423000,-62,-63,,,,,,,,,
2025/4/15 18:53,Head,20,90,LTE,B1,100,-80,-90,-110,-122,18100,14,5,NR,N78,630000,-122,-110,-121,-109,630000,9.5,NR,N1,423000,-78,-50,,,,,,,,,
2025/4/15 18:54,Head,20.5,120,LTE,B1,100,-82,-92,-111,-119,18100,9,-2,NR,N78,630000,-122,-120,-123,-122,630000,5.5,NR,N1,423000,-65,-55,,,,,,,,,
2025/4/15 18:55,Free,0,0,LTE,B1,100,-76,-95,-109,-123,18100,0,10,NR,N78,630000,-122,-108,-120,-129,630000,0,NR,N1,423000,-62,-63,,,,,,,,,
2025/4/15 18:56,Free,30,100,LTE,B1,100,-80,-90,-110,-122,18100,19,9,NR,N78,630000,-122,-110,-121,-109,630000,-2,NR,N1,423000,-78,-50,,,,,,,,,
2025/4/15 18:57,Free,0,90,LTE,B1,100,-82,-92,-111,-119,18100,17,5,NR,N78,630000,-122,-120,-123,-122,630000,8,NR,N1,423000,-65,-55,,,,,,,,,
2025/4/15 18:58,Free,20,120,LTE,B1,100,-76,-95,-109,-123,18100,14,-2,NR,N78,630000,-122,-108,-120,-129,630000,9.5,NR,N1,423000,-62,-63,,,,,,,,,
2025/4/15 18:59,Free,20.5,0,LTE,B1,100,-80,-90,-110,-122,18100,9,10,NR,N78,630000,-122,-110,-121,-109,630000,5.5,NR,N1,423000,-78,-50,,,,,,,,,
2025/4/15 19:00,Free,0,100,LTE,B1,100,-82,-92,-111,-119,18100,0,9,NR,N78,630000,-122,-120,-123,-122,630000,0,NR,N1,423000,-65,-55,,,,,,,,,
2025/4/15 19:01,Free,30,90,LTE,B1,100,-76,-95,-109,-123,18100,19,5,NR,N78,630000,-122,-108,-120,-129,630000,-2,NR,N1,423000,-62,-63,,,,,,,,,
2025/4/15 19:02,Free,0,120,LTE,B1,100,-80,-90,-110,-122,18100,17,-2,NR,N78,630000,-122,-110,-121,-109,630000,8,NR,N1,423000,-78,-50,,,,,,,,,
2025/4/15 19:03,Free,20,0,LTE,B1,100,-82,-92,-111,-119,18100,14,10,NR,N78,630000,-122,-120,-123,-122,630000,9.5,NR,N1,423000,-65,-55,,,,,,,,,
2025/4/15 19:04,Free,20.5,100,LTE,B1,100,-76,-95,-109,-123,18100,9,9,NR,N78,630000,-122,-108,-120,-129,630000,5.5,NR,N1,423000,-62,-63,,,,,,,,,
2025/4/15 19:05,Free,0,90,LTE,B1,100,-80,-90,-110,-122,18100,0,5,NR,N78,630000,-122,-110,-121,-109,630000,0,NR,N1,423000,-78,-50,,,,,,,,,
2025/4/15 19:06,Free,0,120,LTE,B1,100,-82,-92,-111,-119,18100,19,-2,NR,N78,630000,-122,-120,-123,-122,630000,-2,NR,N1,423000,-65,-55,,,,,,,,,
2025/4/15 19:07,Free,20,0,LTE,B1,100,-76,-95,-109,-123,18100,17,10,NR,N78,630000,-122,-108,-120,-129,630000,8,NR,N1,423000,-62,-63,,,,,,,,,
2025/4/15 19:08,Free,20.5,100,LTE,B1,100,-80,-90,-110,-122,18100,14,9,NR,N78,630000,-122,-110,-121,-109,630000,9.5,NR,N1,423000,-78,-50,,,,,,,,,
2025/4/15 19:09,Free,0,90,LTE,B1,100,-82,-92,-111,-119,18100,9,5,NR,N78,630000,-122,-120,-123,-122,630000,5.5,NR,N1,423000,-65,-55,,,,,,,,,
2025/4/15 19:10,Free,30,120,LTE,B1,100,-76,-95,-109,-123,18100,0,-2,NR,N78,630000,-122,-108,-120,-129,630000,0,NR,N1,423000,-62,-63,,,,,,,,,
2025/4/15 19:11,Free,0,0,LTE,B1,100,-80,-90,-110,-122,18100,19,10,NR,N78,630000,-122,-110,-121,-109,630000,-2,NR,N1,423000,-78,-50,,,,,,,,,
2025/4/15 19:12,Free,20,100,LTE,B1,100,-82,-92,-111,-119,18100,17,9,NR,N78,630000,-122,-120,-123,-122,630000,8,NR,N1,423000,-65,-55,,,,,,,,,
2025/4/15 19:13,Free,20.5,90,LTE,B1,100,-90,-100,-110,-123,18100,14,5,NR,N78,630000,-122,-108,-120,-129,630000,9.5,NR,N1,423000,-62,-63,,,,,,,,,
